806,857
613,528
774,602
946,735
542,728
812,921
833,561
614,532
566,903
896,721
914,565
644,730
569,648
772,973
673,590
746,720
758,934
773,604
716,838
632,626
930,963
769,740
706,988
732,884
688,551
872,610
971,894
646,668
941,608
797,630
709,796
752,868
981,793
665,749
506,858
893,692
597,793
878,762
532,675
643,512
744,980
799,915
840,686
812,953
788,753
573,935
945,744
578,658
882,749
635,714
625,509
510,729
574,799
869,977
520,725
936,683
758,779
786,901
936,540
758,744
566,665
992,871
623,757
506,604
606,913
691,992
507,916
692,581
885,550
793,745
740,639
547,705
561,655
567,578
596,824
546,584
972,575
956,666
978,824
603,783
870,723
543,739
623,829
769,711
906,657
802,643
830,836
949,720
832,991
795,764
826,632
542,572
589,935
710,628
938,814
874,969
897,683
916,904
737,785
779,860
